CustomerID,Age,Gender,Region,IncomeBand
18,68,Male,West,Medium
45,68,Female,West,Medium
154,68,Female,West,High
215,68,Female,West,High
240,68,Female,West,Medium
285,68,Female,West,Low
290,68,Male,West,High
334,68,Male,West,Medium
374,68,Female,West,Low
430,68,Female,West,Medium
436,68,Female,West,Medium
554,68,Female,West,Medium
619,68,Male,West,Low
778,68,Female,West,Low
789,68,Female,West,High
827,68,Female,West,Low
912,68,Male,West,Medium
944,68,Male,West,High
1024,68,Male,West,High
1120,68,Male,West,High
1307,68,Female,West,Low
1523,68,Female,West,High
1596,68,Male,West,Low
1820,68,Male,West,Medium
1950,68,Male,West,High
2147,68,Male,West,Medium
2190,68,Male,West,Medium
2195,68,Female,West,High
2286,68,Male,West,High
2347,68,Female,West,Medium
2390,68,Female,West,Medium
2444,68,Female,West,Low
2641,68,Female,West,Low
2807,68,Male,West,Low
2831,68,Female,West,Low
2851,68,Female,West,High
2891,68,Male,West,High
2938,68,Female,West,Low
2968,68,Female,West,Low
3000,68,Male,West,Medium
3222,68,Male,West,Low
3323,68,Female,West,Medium
3342,68,Female,West,Low
3683,68,Female,West,High
3727,68,Female,West,High
3729,68,Female,West,Low
3774,68,Female,West,Medium
3853,68,Male,West,Medium
3972,68,Female,West,Medium
4019,68,Female,West,Medium
4164,68,Female,West,High
4212,68,Male,West,Medium
4213,68,Female,West,Low
4273,68,Male,West,High
4323,68,Female,West,Low
4440,68,Female,West,High
4454,68,Male,West,High
4480,68,Female,West,High
4510,68,Female,West,Medium
4537,68,Female,West,Medium
4727,68,Male,West,High
4766,68,Male,West,High
4927,68,Female,West,Medium
5043,68,Male,West,Low
5171,68,Female,West,Low
5261,68,Female,West,Low
5271,68,Female,West,High
5412,68,Male,West,High
5446,68,Male,West,Low
5549,68,Female,West,Medium
5565,68,Male,West,Medium
5637,68,Female,West,Low
5753,68,Female,West,Medium
5784,68,Female,West,Low
5794,68,Female,West,High
5866,68,Female,West,Medium
5915,68,Male,West,High
5960,68,Female,West,Medium
6032,68,Male,West,Medium
6066,68,Male,West,High
6156,68,Male,West,Low
6617,68,Female,West,High
6649,68,Male,West,Low
6686,68,Female,West,Medium
6854,68,Female,West,Low
6911,68,Male,West,Low
6937,68,Female,West,High
7057,68,Female,West,Medium
7195,68,Female,West,High
7197,68,Male,West,Medium
7302,68,Female,West,Medium
7541,68,Male,West,Medium
7682,68,Male,West,High
